Time:528284390ms,PackageNo 119
Time:528299562ms,PackageNo 271
Time:528299671ms,PackageNo 272
Time:528299765ms,PackageNo 273
Time:528299859ms,PackageNo 274
Time:528299968ms,PackageNo 275
Time:528300062ms,PackageNo 276
Time:528300171ms,PackageNo 277
Time:528300265ms,PackageNo 278
Time:528300359ms,PackageNo 279
Time:528300468ms,PackageNo 280
Time:528300562ms,PackageNo 281
Time:528300671ms,PackageNo 282
Time:528300765ms,PackageNo 283
Time:528300859ms,PackageNo 284
Time:528300968ms,PackageNo 285
Time:528301062ms,PackageNo 286
Time:528301171ms,PackageNo 287
Time:528301265ms,PackageNo 288
Time:528301359ms,PackageNo 289
Time:528301468ms,PackageNo 290
Time:528301562ms,PackageNo 291
Time:528301671ms,PackageNo 292
Time:528301765ms,PackageNo 293
Time:528301859ms,PackageNo 294
Time:528301968ms,PackageNo 295
Time:528302062ms,PackageNo 296
Time:528302171ms,PackageNo 297
Time:528302265ms,PackageNo 298
Time:528302359ms,PackageNo 299
Time:528302468ms,PackageNo 300
Time:528302562ms,PackageNo 301
Time:528302671ms,PackageNo 302
Time:528302765ms,PackageNo 303
Time:528302859ms,PackageNo 304
Time:528302968ms,PackageNo 305
Time:528303062ms,PackageNo 306
Time:528303171ms,PackageNo 307
Time:528303265ms,PackageNo 308
Time:528303359ms,PackageNo 309
Time:528303468ms,PackageNo 310
Time:528303562ms,PackageNo 311
Time:528303671ms,PackageNo 312
Time:528303765ms,PackageNo 313
Time:528303859ms,PackageNo 314
Time:528303968ms,PackageNo 315
Time:528304062ms,PackageNo 316
Time:528304171ms,PackageNo 317
Time:528304265ms,PackageNo 318
Time:528304359ms,PackageNo 319
Time:528304468ms,PackageNo 320
Time:528304562ms,PackageNo 321
Time:528304671ms,PackageNo 322
Time:528304765ms,PackageNo 323
Time:528304859ms,PackageNo 324
Time:528349609ms,PackageNo 771
Time:528349890ms,PackageNo 6
Time:528349968ms,PackageNo 7
Time:528350062ms,PackageNo 8
Time:528350171ms,PackageNo 9
Time:528350265ms,PackageNo 10
Time:528350375ms,PackageNo 11
Time:528350468ms,PackageNo 12
Time:528350562ms,PackageNo 13
Time:528350671ms,PackageNo 14
Time:528350765ms,PackageNo 15
Time:528350875ms,PackageNo 16
Time:528350968ms,PackageNo 17
Time:528351062ms,PackageNo 18
Time:528351171ms,PackageNo 19
Time:528351265ms,PackageNo 20
Time:528351375ms,PackageNo 21
Time:528351468ms,PackageNo 22
Time:528351562ms,PackageNo 23
Time:528351671ms,PackageNo 24
Time:528351765ms,PackageNo 25
Time:528351875ms,PackageNo 26
Time:528351968ms,PackageNo 27
Time:528352062ms,PackageNo 28
Time:528352171ms,PackageNo 29
Time:528352265ms,PackageNo 30
Time:528352375ms,PackageNo 31
Time:528352468ms,PackageNo 32
Time:528352562ms,PackageNo 33
Time:528352671ms,PackageNo 34
Time:528352765ms,PackageNo 35
Time:528352875ms,PackageNo 36
Time:528352968ms,PackageNo 37
Time:528353062ms,PackageNo 38
Time:528394578ms,PackageNo 1221
Time:528394875ms,PackageNo 200
Time:528394968ms,PackageNo 201
Time:528395062ms,PackageNo 202
Time:528395171ms,PackageNo 203
Time:528395265ms,PackageNo 204
Time:528395375ms,PackageNo 205
Time:528395468ms,PackageNo 206
Time:528395562ms,PackageNo 207
Time:528395671ms,PackageNo 208
Time:528395765ms,PackageNo 209
Time:528395875ms,PackageNo 210
Time:528395968ms,PackageNo 211
Time:528396062ms,PackageNo 212
Time:528396171ms,PackageNo 213
Time:528396265ms,PackageNo 214
Time:528396375ms,PackageNo 215
Time:528396468ms,PackageNo 216
Time:528417187ms,PackageNo 1447
Time:528417468ms,PackageNo 169
Time:528417515ms,PackageNo 170
Time:528417562ms,PackageNo 171
Time:528417671ms,PackageNo 172
Time:528417765ms,PackageNo 173
Time:528417875ms,PackageNo 174
Time:528417968ms,PackageNo 175
Time:528418062ms,PackageNo 176
Time:528418171ms,PackageNo 177
Time:528418265ms,PackageNo 178
Time:528418375ms,PackageNo 179
Time:528418468ms,PackageNo 180
Time:528418562ms,PackageNo 181
Time:528418671ms,PackageNo 182
Time:528418765ms,PackageNo 183
Time:528418875ms,PackageNo 184
Time:528456187ms,PackageNo 1837
Time:528456468ms,PackageNo 47
Time:528456515ms,PackageNo 48
Time:528456578ms,PackageNo 49
Time:528456671ms,PackageNo 50
Time:528456765ms,PackageNo 51
Time:528456875ms,PackageNo 52
Time:528456968ms,PackageNo 53
Time:528457078ms,PackageNo 54
Time:528457171ms,PackageNo 55
Time:528457265ms,PackageNo 56
Time:528457375ms,PackageNo 57
Time:528457468ms,PackageNo 58
Time:528457578ms,PackageNo 59
Time:528457671ms,PackageNo 60
Time:528457765ms,PackageNo 61
Time:528457875ms,PackageNo 62
Time:528457968ms,PackageNo 63
